DEPT,AHT10,AHT20,AHT30,AHT60,AHT90,AHTCO60,AHTCO90,DPHZ,DSOZ,DT,GR,HAZI,HCAL,HDRA,HMIN,HMNO,HTEM,ITT,NPOR,PEFZ,RSOZ,RXOZ,SDEV,SP,SPHI,RHOZ,TOP
3059,8.2242,8.5864,8.5666,9.2762,10.3677,107.8033,96.4533,0.0945,0.0459,101.3154,46.0647,220.5124,6.5945,-0.0006,6.9571,6.1484,86.447,0.1564,0.3981,5.5161,0,9.0844,1.0112,-3.875,0.3147,2.4941,MATANUSKA
3058.5,7.8795,8.1703,8.2129,8.7935,9.6403,113.7198,103.7308,0.0931,0.0561,101.0158,47.5137,220.8508,6.5945,0.0005,6.9467,6.1392,86.447,0.1565,0.3606,5.2683,0,8.6303,1.0132,-4.375,0.3126,2.4964,MATANUSKA
3058,7.8329,8.0884,8.1913,8.7798,9.4881,113.8976,105.3955,0.0892,0.0579,100.6228,50.8066,220.5704,6.5716,0.0014,6.6643,5.8903,86.447,0.1565,0.3473,4.9971,0,8.7837,1.0073,-2.75,0.3099,2.5028,MATANUSKA
3057.5,8.1059,8.3255,8.5195,9.1161,9.7799,109.6961,102.2507,0.083,0.053,99.8171,54.2295,220.9014,6.5945,0.0013,7.2984,6.4493,86.447,0.1566,0.3282,4.8054,0,8.7264,1.0002,-4.625,0.3043,2.513,MATANUSKA
3057,8.4789,8.7159,8.9449,9.5949,10.1344,104.2222,98.6735,0.0766,0.0641,98.3884,55.0416,221.0831,6.6174,0.0024,6.854,6.0576,86.447,0.1566,0.3523,4.8186,0,8.1474,0.9952,-2.625,0.2944,2.5237,MATANUSKA
3056.5,8.8875,8.9901,9.2397,9.9226,10.3726,100.7799,96.4082,0.0802,0.0449,97.5584,55.0621,221.0322,6.5945,0.0012,5.9319,5.2447,86.447,0.1567,0.3557,4.9354,0,7.9163,0.9923,-3.875,0.2886,2.5177,MATANUSKA
3056,8.9297,9.0554,9.3745,10.0563,10.3117,99.4397,96.9771,0.0749,0.0677,97.0138,50.1916,220.7773,6.5945,0.0008,6.6449,5.8732,86.447,0.1567,0.3692,5.1074,0,8.5297,0.9831,-2.8125,0.2848,2.5264,MATANUSKA
3055.5,8.8916,8.9462,9.2652,9.9155,10.063,100.8518,99.374,0.0686,0.0674,96.1762,47.6701,221.1469,6.5716,-0.0059,8.8704,7.8351,86.447,0.1568,0.3408,5.2615,0,11.0792,0.9838,-3.125,0.279,2.5368,MATANUSKA
3055,9.2948,9.4089,9.6429,10.4236,10.3843,95.936,96.2991,0.0565,0.0744,94.2195,42.9765,221.6861,6.48,-0.0074,13.1743,11.6358,86.447,0.1568,0.2908,5.3684,0,14.2206,0.9848,-2.5625,0.2654,2.5568,MATANUSKA
3054.5,9.9323,10.1875,10.4379,10.9834,11.0577,91.0463,90.4344,0.0604,0.0755,90.4994,43.587,221.8222,6.48,-0.0101,13.5825,11.9966,86.447,0.1568,0.3148,5.348,0,17.8276,0.9789,-2.5,0.2396,2.5504,MATANUSKA
3054,11.018,11.3635,11.4338,11.9046,11.902,84.0013,84.0193,0.0721,0.0964,86.443,40.7315,221.7908,6.48,-0.0095,15.0112,13.2609,86.447,0.1569,0.2751,5.2284,0,18.3173,0.9767,-3.25,0.2114,2.5311,MATANUSKA
3053.5,11.6366,11.8668,12.0126,12.3218,12.2556,81.1572,81.5956,0.0822,0.0836,86.2154,39.2716,222.08,6.5716,-0.0104,11.8484,10.4644,86.447,0.1569,0.2989,5.0589,0,14.5094,0.9714,-3.4375,0.2098,2.5144,MATANUSKA
3053,11.3149,11.5724,11.6936,11.7379,11.7671,85.1944,84.983,0.0818,0.0577,89.3669,44.6774,222.5085,6.6403,-0.0081,7.9927,7.0613,86.447,0.157,0.3099,4.9509,0,11.3911,0.9738,-3.9375,0.2317,2.515,MATANUSKA
3052.5,10.4263,10.6168,10.6841,10.8967,10.9927,91.7706,90.9693,0.0832,0.0219,92.5672,51.773,222.3431,6.5945,-0.0069,7.7238,6.8243,86.447,0.157,0.3274,5.001,0,9.8302,0.9629,-5.625,0.2539,2.5127,MATANUSKA
3052,9.6873,9.8021,9.6877,9.8391,9.9804,101.6354,100.1968,0.0895,0.0512,96.6085,55.9374,222.4879,6.5945,-0.0082,8.0941,7.1507,86.447,0.1571,0.3159,5.1819,0,9.8133,0.9684,-3.4375,0.282,2.5023,MATANUSKA
3051.5,10.0781,10.2478,10.2217,10.4325,10.6013,95.8545,94.3278,0.0918,0.0849,97.2463,56.9526,223.627,6.6174,-0.007,7.9588,7.0314,86.447,0.1571,0.308,5.3208,0,10.0057,0.9608,-3.8125,0.2864,2.4986,MATANUSKA
3051,10.4497,10.6057,10.5927,10.8964,11.1384,91.7735,89.7792,0.0844,0.1254,95.1219,53.8959,222.9727,6.5716,-0.0028,8.1453,7.1959,86.447,0.1572,0.3255,5.2538,0,9.8313,0.9635,-2.875,0.2717,2.5108,MATANUSKA
3050.5,10.4527,10.6638,10.765,11.1879,11.4184,89.382,87.5783,0.0735,0.1354,94.2334,53.8799,223.1116,6.5716,0.0025,7.7913,6.8838,86.447,0.1572,0.3403,5.0675,0,9.5806,0.9559,-2.4375,0.2655,2.5287,MATANUSKA
3050,10.3012,10.5146,10.582,11.0631,11.3591,90.3909,88.0349,0.0697,0.1295,94.6601,49.8255,223.0799,6.5487,0.0042,7.3507,6.4954,86.447,0.1573,0.3143,4.9284,0,9.21,0.9564,-3.1875,0.2685,2.535,MATANUSKA
3049.5,10.1238,10.379,10.4695,10.9019,11.3154,91.7268,88.3749,0.0751,0.0884,95.5426,51.3705,223.714,6.606,0.0034,7.2785,6.4317,86.447,0.1573,0.3776,4.9043,0,9.1669,0.9508,-3.25,0.2746,2.526,MATANUSKA
3049,10.1071,10.38,10.4003,10.9279,11.4238,91.5093,87.5365,0.0773,0.0691,96.3897,50.1446,223.1521,6.6174,0.0031,7.8516,6.9369,86.447,0.1574,0.363,4.9344,0,9.5128,0.9499,-2.1875,0.2805,2.5224,MATANUSKA
3048.5,10.1297,10.4482,10.4368,10.8668,11.4069,92.0236,87.6666,0.0736,0.0708,96.6908,52.9633,223.3857,6.5945,0.0034,7.9181,6.9956,86.447,0.1574,0.3327,4.9393,0,9.8526,0.9488,-2.375,0.2826,2.5286,MATANUSKA
3048,10.1305,10.4809,10.5027,10.9264,11.5324,91.5211,86.7124,0.0692,0.0721,97.0265,52.7724,223.8651,6.5945,0.0035,8.081,7.1392,86.447,0.1575,0.3416,4.9097,0,9.7485,0.9482,-3.5,0.2849,2.5358,MATANUSKA
3047.5,10.1935,10.5909,10.5664,10.9782,11.6174,91.0893,86.0777,0.0682,0.0576,96.9888,55.2564,224.1021,6.5945,0.0021,7.717,6.8183,86.447,0.1575,0.3562,4.888,0,9.8013,0.9462,-3.4375,0.2846,2.5375,MATANUSKA
3047,10.0997,10.4818,10.5238,10.9336,11.7018,91.4609,85.4571,0.0751,0.0281,97.2713,54.7836,223.513,6.5831,-0.0007,7.8818,6.9636,86.447,0.1576,0.3358,5.0067,0,9.5457,0.9436,-3.875,0.2866,2.5261,MATANUSKA
3046.5,9.6719,10.1395,10.1686,10.5611,11.0689,94.6869,90.3434,0.0779,0.0274,98.1959,57.6816,223.5497,6.5716,-0.0002,7.5378,6.6603,86.447,0.1576,0.3336,5.2659,0,9.7716,0.9433,-5.75,0.293,2.5214,MATANUSKA
3046,9.2729,9.5929,9.681,10.0221,10.4407,99.7797,95.7794,0.0857,0.0181,99.3926,57.6816,223.8331,6.5716,-0.0122,7.8993,6.979,86.447,0.1577,0.3183,5.6939,0,9.5352,0.9314,-6.4375,0.3013,2.5087,MATANUSKA
3045.5,9.1736,9.3014,9.5246,9.9089,10.2501,100.9191,97.5602,0.0848,0.0181,101.7549,56.9724,223.6622,6.5716,-0.0288,7.7154,6.8169,86.447,0.1577,0.3547,6.1467,0,9.5734,0.9334,-6.1875,0.3177,2.51,MATANUSKA
3045,9.2868,9.0942,9.3984,9.8994,10.1403,101.0166,98.6165,0.0735,0.0079,102.414,52.4183,223.9288,6.5487,-0.0468,7.8815,6.9633,86.447,0.1578,0.3387,6.4374,0,12.1087,0.9255,-5.375,0.3223,2.5287,MATANUSKA
3044.5,10.2032,10.415,10.8726,11.7958,11.9295,84.7757,83.8256,0.0457,0.0134,89.602,43.2153,223.6196,6.4571,-0.0465,20.0178,17.7673,86.447,0.1578,0.2892,6.4379,0,20.6189,0.9252,-5.875,0.2333,2.5746,MATANUSKA
3044,13.7959,14.8896,15.6729,16.1401,16.1581,61.9575,61.8885,0.0136,0.0276,78.841,32.8186,224.2472,6.3884,-0.0353,68.1912,63.3041,86.447,0.1578,0.2123,6.1853,0,84.4871,0.928,-5.3125,0.1586,2.6276,MATANUSKA
3043.5,20.0649,21.2609,21.9767,23.338,22.8983,42.8485,43.6713,-0.0064,0.0346,69.4141,30.7362,224.0618,6.3655,-0.0224,94.2405,83.719,86.447,0.1579,0.1636,5.8671,0,136.2903,0.9232,-4.9375,0.0932,2.6606,MATANUSKA
3043,28.4818,25.9589,27.4806,29.4048,28.4874,34.0081,35.1032,-0.0138,0.031,60.2386,29.7993,223.6391,6.3655,-0.0108,116.3976,103.4799,86.447,0.1579,0.1699,5.5222,0,181.4599,0.9117,-3.5625,0.0294,2.6727,MATANUSKA
3042.5,33.5991,33.8381,34.9962,35.923,33.8242,27.8373,29.5646,-0.0079,0.0168,60.7369,29.5848,224.0585,6.3655,-0.0063,152.3058,138.2489,86.447,0.1579,0.1712,5.1952,0.0065,205.3096,0.9116,-4.375,0.0329,2.663,MATANUSKA
3042,44.6478,41.0775,44.772,45.4961,41.2301,21.9799,24.2541,-0.0114,0.0175,59.355,24.6291,224.4141,6.3655,-0.0001,129.2504,115.6437,86.447,0.158,0.1523,4.9289,0,261.3645,0.9094,-2.875,0.0233,2.6689,MATANUSKA
3041.5,57.934,63.9275,65.161,61.7897,51.2508,16.1839,19.5119,-0.0152,0.0308,58.3768,24.8658,223.8178,6.3082,0.0039,227.5123,202.7751,86.447,0.158,0.1312,4.9641,0,228.7065,0.8945,-4.625,0.0165,2.6751,MATANUSKA
3041,71.9387,67.5887,58.0949,59.3736,47.8844,16.8425,20.8836,-0.0002,0.0384,61.44,27.9679,224.279,6.2738,0.0036,55.3853,52.6319,86.447,0.158,0.1654,5.6804,0.0217,53.8839,0.8871,-3.125,0.0378,2.6504,MATANUSKA
