depth (ft),longitude,latitude
7106.4,-107.975,41.62841
12414.4,-108.25365,42.22893
6108.3,-108.2791,41.66521
2234.7,-108.68219,41.78812
6643.2,-108.21645,41.72556
9645.9,-107.83101,41.83009
,-108.31493,41.23524
1862.4,-108.83045,41.30366
4443,-108.49148,41.55681
8534.8,-108.31001,41.97868
6061,-108.57596,41.96914
1746.3,-108.79335,41.37247
3677.2,-108.60421,41.461
1661.9,-108.75419,41.38694
9660,-107.89308,42.19487
3058.6,-108.54908,41.71991
,-108.4398,41.15908
6708.8,-108.19229,41.70387
,-107.73787,42.00666
,-108.27975,41.36601
6123.6,-107.63696,42.21335
,-108.1847,41.37956
2844.5,-108.56354,41.7018
1991.6,-108.7723,41.34318
3636.9,-108.48932,41.6999
3640.9,-108.48936,41.71439
3744.2,-108.49165,41.67274
3809.7,-108.4896,41.73618
3474.7,-108.508,41.72164
3493,-108.50026,41.66546
8739,-108.35025,41.0133
4318,-108.52275,41.83504
3559.9,-108.50052,41.67234
7234.1,-108.3751,41.5024
,-107.91778,42.12621
3298.8,-108.52,41.68722
3741,-108.48199,41.67272
7649.6,-108.25663,41.87349
3926.3,-108.47234,41.66546
2019.1,-108.76817,41.35795
3184.8,-108.52489,41.69089
2881.9,-108.56841,41.69091
5038.9,-108.59452,41.4392
2474.9,-108.59241,41.68733
6583.8,-108.32928,41.84531
6756,-108.37774,41.88897
2727.4,-108.5783,41.6908
3038,-108.53931,41.69449
6668,-108.30064,41.84457
2751.2,-108.56431,41.69091
2483.3,-108.59259,41.71989
2806.6,-108.54833,41.69399
6652.3,-108.35353,41.87437
9530,-108.21073,41.47682
8382.9,-108.61822,41.3374
10718.4,-108.454,41.32783
8636,-108.35197,42.0123
9468.1,-107.95071,41.12206
10021.8,-107.53841,41.80222
5914.6,-108.39512,41.52415
6975.5,-108.19121,41.62481
6974.1,-107.63868,41.67594
11305.8,-107.67321,41.90401
,-108.35356,41.9797
9305.2,-108.36651,42.03766
10130.8,-108.3021,42.07045
9064,-108.35195,42.02679
4929.7,-108.43844,41.53504
8740.1,-108.18617,41.94052
6558.5,-107.57145,41.68989
3155,-108.53752,41.72132
6105.8,-108.42858,41.88377
3886.1,-108.59522,41.80982
6251.6,-108.36136,41.56392
5025.7,-108.43909,41.52074
11557.6,-107.55761,41.87472
8221.9,-108.44769,42.02141
13341.6,-108.2083,41.15703
8626.6,-108.09908,41.88272
10874.9,-108.47343,41.31331
7810.5,-107.67724,41.70525
6914.5,-108.42149,41.46805
8912.7,-108.25377,41.97599
2192.4,-108.60457,41.69331
,-108.04174,41.94766
3100.3,-108.63171,41.81152
12093.8,-108.18802,42.12136
5646,-108.59296,41.95594
8723.4,-107.61609,41.77333
12386,-107.71225,41.9904
10959.6,-107.84821,41.94711
11320.7,-108.46439,41.29869
9648.7,-107.82861,41.84595
6828.4,-108.19639,41.77417
10455.4,-108.36868,42.09464
9816.9,-108.28491,42.06511
9624.4,-107.86791,41.87479
9066.4,-108.27017,41.4892
10360.8,-108.02338,41.24576
9050.7,-107.94336,41.27089
6208.7,-107.67739,41.66161
11215.6,-108.28476,42.11445
,-108.20472,42.25379
10424.3,-108.03427,42.00714
5099.1,-108.46271,41.83259
9992.5,-107.55778,41.81681
8973.1,-108.4102,42.04127
7804.6,-108.03986,41.51797
7123.6,-108.17511,41.62617
8820.5,-108.26598,41.96745
10344.4,-108.05366,41.99251
11125,-108.45504,41.31327
8136.5,-107.94024,41.34089
10506,-108.34917,42.09451
,-108.34879,41.26006
3183.5,-108.58224,41.51679
11066.9,-108.36636,42.14357
8387.5,-108.32942,41.98332
11147.6,-108.58875,41.27751
11212.8,-108.29401,42.12138
9954.4,-107.62583,41.81009
12645.5,-108.3509,42.2119
9014.5,-108.20771,41.96399
9483.3,-108.54752,42.14113
9621.8,-108.3665,42.07023
9610.7,-108.52127,41.34213
8471.5,-108.36327,41.9965
15016,-107.7307,42.11357
8889.3,-107.98377,41.8606
10499.9,-107.82869,41.89589
10243.6,-107.75118,41.86035
,-107.73193,41.84586
10125,-108.27011,41.44608
,-107.80919,41.87486
,-108.32431,41.15344
11367.7,-108.27562,42.12166
11828,-108.10089,41.14003
10569.3,-108.20746,42.05132
9060.1,-108.2852,41.99333
7703.8,-108.00095,41.47498
7690.1,-107.98162,41.46769
8484,-108.19586,41.91883
9758.1,-108.34635,42.07022
9075,-108.02248,41.87492
8857.7,-108.04181,41.86044
7960.7,-108.33174,41.95616
9489.1,-108.02043,41.32975
7825.1,-108.51902,41.39565
13179.9,-108.17438,42.17231
12440.4,-108.03498,42.11151
10484.1,-107.75113,41.88984
12537.2,-108.35017,42.22934
12354.4,-108.34984,42.20077
12955.6,-108.29317,42.19979
11392.3,-108.34957,42.17098
2610.3,-108.58492,41.7
,-108.08195,41.00965
6865,-108.59441,42.01261
3006.3,-108.56528,41.72228
11337,-108.05855,41.07102
9227,-108.44526,42.06665
10075.6,-108.02227,41.962
5816.2,-108.57596,41.95466
8379.6,-108.30708,41.95336
12356.7,-107.78647,42.01038
15820.4,-108.34331,41.14697
10193.5,-108.20747,42.03632
8183.5,-108.51816,42.04151
14099.9,-108.24684,41.12377
8754.6,-108.21758,41.93143
4843.8,-108.37092,41.62191
8310,-107.61991,41.73331
8393.1,-108.21532,41.90431
11832.3,-108.05486,41.07449
11544.3,-108.2434,41.40783
10402.5,-108.0149,41.9926
10231.9,-108.26549,42.0651
7397.9,-107.86731,41.69141
8875.7,-108.06128,41.87496
8351.4,-108.28551,41.93855
10163.8,-108.2509,41.44556
8527.8,-107.922,41.28409
7349.5,-108.40199,41.93574
8295.7,-108.2903,41.953
11186.6,-108.00086,42.04285
4881.4,-108.38061,41.61833
10075.9,-108.36371,41.41729
1996.8,-108.60206,41.67647
12169.1,-108.11794,41.12715
7433.7,-107.94352,41.41645
9982.3,-107.99336,41.93346
9520.5,-108.1522,41.4619
11774,-107.92346,42.04252
10828,-108.36724,41.38581
6822.8,-108.14437,41.67677
10347.6,-108.56085,42.20182
