,APINO,Surface hole latitude (NAD83),Surface hole longitude (NAD83),Bottom hole latitude (NAD83),Bottom hole longitude (NAD83),Total vertical depth at bottom hole (ft),Number of frac stages,Total slurry (bbl),Total proppant (lb),Surface-to-bottom hole length (ft),Producing interval length (ft),Lateral azimuth (°),First 18 months oil (bbl),IP oil API gravity (°),Average gas-oil ratio (ft3/bbl),Calculated top of reservoir temperature (°F),API number,Company,Well type,WSGS reservoir
223,562553,43.72443,-105.35609,43.75089,-105.35468,8795.0,32.0,84102.0,5873085.0,9648.736398,8943.0,3.050291,96624.0,38.2,788.643533,216.20302862173915,221,20,1,1
224,562567,43.54689,-105.9459,43.53317,-105.93971,12615.18,17.0,74413.0,3215263.0,5261.833854,4353.0,155.716714,17235.0,38.2,1448.453608,236.006234,222,2,1,0
225,562568,43.54523,-106.00378,43.53278,-105.99927,12354.83,15.0,85183.4538927739,2782117.0,4691.599734,3791.0,160.087132,127460.0,42.4,847.001224,244.595512,223,2,1,0
226,562575,43.629,-105.62507,43.62866,-105.65272,10938.0,27.0,70114.0,5393727.0,7319.47248,6200.0,269.295494,284381.0,44.0,1255.717256,216.20302862173915,224,5,1,1
227,562623,43.61922,-105.56588,43.60701,-105.56824,10541.0,25.0,86082.0,4616540.0,4492.732351,4325.0,190.939471,306018.0,42.65357142857142,1327.827192,254.415889,225,8,1,1
228,562654,43.69301,-105.5082,43.67059,-105.5061,10046.25,20.0,85183.4538927739,8350740.0,8188.298876,7646.0,174.648925,92813.0,39.0,3271.84466,216.20302862173915,226,7,1,1
229,562667,43.56257,-105.74092,43.5747,-105.7434,11492.26,20.0,79562.0,4067498.0,4468.543935,3800.0,348.445021,97124.64019851117,42.65357142857142,2254.310345,216.20302862173915,227,19,1,0
230,562688,43.62907,-105.58504,43.62885,-105.60256,10626.97,21.0,41775.0,3402040.0,4637.869702,3610.0,269.28057,229078.0,43.5,1340.300457,216.20302862173915,228,5,1,1
231,562690,43.75182,-105.40931,43.72482,-105.40487,9167.0,73.0,82358.0,4926671.0,9908.023945,9014.0,170.661605,154462.0,38.6,1150.470219,175.144466,229,20,1,1
232,562694,43.63269,-105.5853,43.63282,-105.56577,10460.0,17.0,37939.0,3373459.0,5169.064682,3966.0,89.618621,113982.0,43.4,1097.526502,216.20302862173915,230,5,1,1
233,562783,43.61872,-105.62861,43.59963,-105.62657,10961.57,36.0,180356.0,11715900.0,6976.979524,6488.0,173.900393,324900.0,52.4,1526.740666,216.20302862173915,231,8,1,1
234,562791,43.60568,-105.60901,43.6182,-105.6065,10771.0,32.0,40820.0,3392501.0,4610.194222,3641.0,11.336332,283828.0,44.6,2051.269288,206.906722,232,5,1,1
235,562836,43.73711,-105.82872,43.75,-105.83264,11422.67,14.0,49133.0,3921797.0,4809.904943,4102.0,343.084869,97124.64019851117,42.65357142857142,3793.8328290086765,216.20302862173915,233,19,1,0
236,562852,43.61859,-105.63919,43.59904,-105.63559,11098.67,34.0,123443.0,9050400.0,7187.14864,6946.0,169.566254,154821.0,47.2,1318.181818,273.04747,234,8,1,1
237,562853,43.61867,-105.63935,43.60022,-105.64254,11125.0,31.0,113882.0,8465290.0,6775.693338,6237.0,189.809443,134783.0,47.2,1297.658863,255.280388,235,8,1,1
