,latitude,longitude,elevation,heart,time,slope,distance
94,44.416942,-111.367289,1917.1,158,2018-09-29 14:04:15+00:00,0.0,6.511528237582295e-05
95,44.416898,-111.367241,1917.1,158,2018-09-29 14:04:16+00:00,0.0,8.146778504970576e-05
96,44.416844,-111.36718,1917.1,158,2018-09-29 14:04:17+00:00,0.0,7.224956747680442e-05
97,44.416796,-111.367126,1917.1,158,2018-09-29 14:04:18+00:00,0.10000000000013642,7.887331614418684e-05
98,44.416735,-111.367076,1917.2,158,2018-09-29 14:04:19+00:00,0.0,7.291776189309883e-05
99,44.416686,-111.367022,1917.2,158,2018-09-29 14:04:20+00:00,0.0,6.324555320546712e-05
100,44.416634,-111.366986,1917.2,158,2018-09-29 14:04:21+00:00,0.0,6.511528238062426e-05
101,44.41659,-111.366938,1917.2,158,2018-09-29 14:04:22+00:00,0.0,7.07672240594993e-05
102,44.416542,-111.366886,1917.2,158,2018-09-29 14:04:23+00:00,0.0,0.000125175876270682
103,44.416455,-111.366796,1917.2,158,2018-09-29 14:04:24+00:00,0.0,5.966573555654099e-05
104,44.416417,-111.36675,1917.2,158,2018-09-29 14:04:25+00:00,0.0,6.868041933724555e-05
105,44.416371,-111.366699,1917.2,158,2018-09-29 14:04:26+00:00,0.0,7.723341245477765e-05
106,44.41632,-111.366641,1917.2,158,2018-09-29 14:04:27+00:00,0.0,9.577577981951705e-05
107,44.416258,-111.366568,1917.2,158,2018-09-29 14:04:28+00:00,0.0,8.732124598438037e-05
108,44.416202,-111.366501,1917.2,158,2018-09-29 14:04:29+00:00,0.0,7.924645102055976e-05
109,44.416148,-111.366443,1917.2,159,2018-09-29 14:04:30+00:00,0.0,7.648529270197165e-05
110,44.416097,-111.366386,1917.2,160,2018-09-29 14:04:31+00:00,0.0,5.69209978853698e-05
111,44.416043,-111.366368,1917.2,160,2018-09-29 14:04:32+00:00,0.0,6.499999999789451e-05
112,44.416004,-111.366316,1917.2,160,2018-09-29 14:04:33+00:00,0.0,8.373768565694913e-05
113,44.41595,-111.366252,1917.2,160,2018-09-29 14:04:34+00:00,0.0,8.993886813143614e-05
114,44.41589,-111.366185,1917.2,160,2018-09-29 14:04:35+00:00,0.0,8.297590011268739e-05
115,44.415836,-111.366122,1917.2,160,2018-09-29 14:04:36+00:00,0.0,4.830113870808494e-05
116,44.415814,-111.366079,1917.2,160,2018-09-29 14:04:37+00:00,0.0,5.1865209922596686e-05
117,44.415785,-111.366036,1917.2,160,2018-09-29 14:04:38+00:00,0.0,7.310950690765856e-05
118,44.415738,-111.36598,1917.2,160,2018-09-29 14:04:39+00:00,0.0,7.762087347170202e-05
119,44.41569,-111.365919,1917.2,160,2018-09-29 14:04:40+00:00,0.0,6.18465843901093e-05
120,44.415651,-111.365871,1917.2,160,2018-09-29 14:04:41+00:00,0.09999999999990905,8.95879456122385e-05
121,44.415602,-111.365796,1917.3,160,2018-09-29 14:04:42+00:00,0.0,8.544588931502142e-05
122,44.415553,-111.365726,1917.3,160,2018-09-29 14:04:43+00:00,0.0,0.00010026464980672533
123,44.41549,-111.365648,1917.3,160,2018-09-29 14:04:44+00:00,0.0,8.052949769177352e-05
124,44.415452,-111.365577,1917.3,160,2018-09-29 14:04:45+00:00,0.0,7.038465742610792e-05
125,44.415425,-111.365512,1917.3,160,2018-09-29 14:04:46+00:00,0.0,8.588364220731156e-05
126,44.415385,-111.365436,1917.3,160,2018-09-29 14:04:47+00:00,0.0,6.083584469923161e-05
127,44.415359,-111.365381,1917.3,160,2018-09-29 14:04:48+00:00,0.0,0.00010690182411883051
128,44.415327,-111.365279,1917.3,160,2018-09-29 14:04:49+00:00,0.0,0.00011178998166747567
129,44.415286,-111.365175,1917.3,160,2018-09-29 14:04:50+00:00,0.0,9.646242791809278e-05
130,44.415254,-111.365084,1917.3,160,2018-09-29 14:04:51+00:00,0.0,9.024965373169316e-05
131,44.41523,-111.364997,1917.3,160,2018-09-29 14:04:52+00:00,0.0,8.888756943277729e-05
132,44.415204,-111.364912,1917.3,160,2018-09-29 14:04:53+00:00,0.0,9.945853407390063e-05
133,44.415178,-111.364816,1917.3,160,2018-09-29 14:04:54+00:00,0.0,9.070832376722013e-05
134,44.415156,-111.364728,1917.3,160,2018-09-29 14:04:55+00:00,0.0,8.649277426367189e-05
135,44.41514,-111.364643,1917.3,160,2018-09-29 14:04:56+00:00,0.0,7.218032973635526e-05
136,44.415127,-111.364572,1917.3,160,2018-09-29 14:04:57+00:00,0.0,9.630160953306932e-05
137,44.415102,-111.364479,1917.3,160,2018-09-29 14:04:58+00:00,0.0,7.542545990143832e-05
138,44.415094,-111.364404,1917.3,160,2018-09-29 14:04:59+00:00,0.0,0.00011375851615852268
139,44.415065,-111.364294,1917.3,160,2018-09-29 14:05:00+00:00,0.0,9.924716620245979e-05
140,44.415044,-111.364197,1917.3,160,2018-09-29 14:05:01+00:00,0.10000000000013642,9.570788891703184e-05
141,44.415026,-111.364103,1917.4,160,2018-09-29 14:05:02+00:00,0.0,0.0001306483830707051
142,44.414988,-111.363978,1917.4,160,2018-09-29 14:05:03+00:00,0.0,6.806614430198595e-05
143,44.414976,-111.363911,1917.4,160,2018-09-29 14:05:04+00:00,0.0,9.876234100346663e-05
144,44.414949,-111.363816,1917.4,162,2018-09-29 14:05:05+00:00,0.0,8.640023148556922e-05
145,44.414925,-111.363733,1917.4,162,2018-09-29 14:05:06+00:00,0.0,7.727871633845705e-05
146,44.414911,-111.363657,1917.4,162,2018-09-29 14:05:07+00:00,0.0,6.862215386141156e-05
