station,latitude,longitude,elevation,observed,theoretical,terrain,bouger,curv,special,freeair,complete_bouger
nd46,41.17216667,-108.8166667,7127,979618.66,980273.73,0.52,-243,-0.51,0,14.93,-229.15
nd47,41.662,-108.7666667,6528,979710.86,980317.69,0.17,-222.6,-0.51,0,6.87,-217.13
nd48,41.6325,-108.75,6548,979706.94,980315.04,0.2,-223.3,-0.51,0,7.48,-217.17
nd49,41.614,-108.7333333,6556,979703.7,980313.38,0.19,-223.6,-1.52,0,6.66,-218.27
nd50,41.56966667,-108.7,6592,979695.14,980309.39,0.03,-224.8,-1.52,0,5.46,-220.86
nd51,41.52716667,-108.6666667,6636,979685.29,980305.58,0.09,-226.3,-1.52,0,3.56,-224.2
nd52,41.51016667,-108.6166667,6689,979675.89,980304.05,0.04,-228.1,-1.52,0,0.67,-228.95
nd53,41.51283333,-108.5833333,6685,979673.15,980304.28,0.1,-228,-1.52,0,-2.69,-232.11
nd54,41.522,-108.5666667,6685,979673.58,980305.11,0.27,-228,-1.52,0,-3.08,-232.33
nd55,41.541,-108.55,6778,979668.75,980306.82,0.02,-231.1,-1.52,0,-0.88,-233.55
nd56,41.526,-108.5333333,6728,979667.72,980305.47,0.15,-229.4,-1.52,0,-5.26,-236.1
nd57,41.505,-108.5333333,6745,979664.32,980303.59,0.1,-230,-1.52,0,-5.17,-236.64
nd58,41.48966667,-108.5,6776,979659.56,980302.21,0.09,-231.1,-1.52,0,-5.64,-238.18
nd59,41.4695,-108.4833333,6932,979645.61,980300.4,0.57,-236.4,-1.52,0,-3.13,-240.5
ndbO,41.453,-108.5,6979,979640.98,980298.91,0.2,-238,-1.52,0,-1.86,-241.21
nd61,41.42816667,-108.5,6903,979642.86,980296.69,0.28,-235.4,-1.52,0,-4.89,-241.57
nd62,41.38216667,-108.5166667,7071,979626.64,980292.56,0.63,-241.1,-1.51,0,-1.19,-243.25
ndbJ,41.37183333,-108.5,7086,979623.43,980291.63,0.39,-241.6,-1.51,0,-2.07,-244.88
nd64,41.33666667,-108.5,7296,979603.4,980288.48,0.43,-248.8,-1.51,0,0.79,-249.14
nd65,41.312,-108.4833333,7201,979604.15,980286.27,0.22,-245.6,-1.51,0,-5.18,-252.07
nd66,41.28816667,-108.5,7108,979607.41,980284.13,0.19,-242.4,-1.51,0,-8.52,-252.27
ndb7,41.03916667,-108.2333333,7092,979588.67,980261.8,0.69,-241.8,-1.51,0,-6.43,-249.14
nd68,41.05183333,-108.1833333,7606,979554.41,980262.94,2.98,-259.4,-1.5,0,6.47,-251.47
ndb9,41.04783333,-108.15,7614,979554.95,980262.58,2.16,-259.6,-1.5,0,8.12,-250.9
nd70,41.05616667,-108.1333333,7330,979575.72,980263.33,1.07,-250,-1.51,0,1.46,-248.99
nd71,41.05866667,-108.15,7221,979583.6,980263.55,0.79,-246.2,-1.51,0,-1.12,-248.13
nd72,41.05983333,-108.8666667,7274,979579.64,980263.65,1.5,-248.1,-1.51,0,-0.21,-248.32
nd73,41.06783333,-108.35,7033,979597.04,980264.37,0.58,-239.8,-1.52,0,-6.18,-246.99
nd74,41.07783333,-109.05,6872,979607.93,980265.27,0.56,-234.3,-1.52,0,-11.3,-246.65
nd75,41.7105,-107.7328333,7050,979649.89,980322.05,0.17,240.46,-1.51,0,-9.41,-251.21
nd76,41.642,-107.7543333,7086,979642.55,980315.89,0.3,241.68,-1.51,0,-7.21,-250.11
nd77,41.59116667,-107.7525,7143,979634.2,980311.33,0.86,243.63,-1.51,0,-5.63,-249.91
nd78,41.557,-107.7623333,7004,979639.35,980308.25,0.06,238.89,-1.52,0,-10.47,-250.81
nd79,41.526,-107.76,6909,979643.29,980305.47,0.13,235.65,-1.52,0,-12.68,-249.71
nd80,41.50316667,-107.7566667,6907,979640.85,980303.42,0.14,235.58,-1.52,0,-13.26,-250.21
nd81,41.4575,-107.7616667,6738,979646.59,980299.32,0.07,229.81,-1.52,0,-19.29,-250.55
nd82,41.41816667,-107.76,6664,979647.48,980295.79,0.08,227.29,-1.52,0,-21.83,-250.56
nd83,41.3875,-107.767,6627,979647.6,980293.04,0.14,226.03,-1.52,0,-22.43,-249.84
nd84,41.35033333,-107.7661667,6551,979649.4,980289.7,0.03,223.44,-1.51,0,-24.44,-249.36
nd85,41.32633333,-107.7676667,6523,979649.64,980287.55,0,222.48,-1.51,0,-24.67,-248.73
nd86,41.34366667,-107.7828333,6617,979644.3,980289.11,0,225.69,-1.52,0,-22.74,-250.01
nd87,41.36033333,-107.8035,6764,979634.6,980290.59,0.15,-230.7,-1.52,0,-20.12,-252.19
nd88,41.39,-107.8235,6647,979643.64,980293.26,0.01,226.71,-1.52,0,-24.73,-252.95
nd89,41.40816667,-107.836,6034,979645.73,980294.9,0.02,226.27,-1.52,0,-25.5,-253.26
nd90,41.43616667,-107.8548333,6667,979645.55,980297.41,0,227.39,-1.52,0,-25.1,-254.04
nd91,41.46116667,-107.8711667,6684,979646.64,980299.65,0,227.97,-1.52,0,-24.65,-254.21
nd92,41.48416667,-107.886,6728,979646.07,980301.72,0,229.47,-1.52,0,-23.15,-254.19
nd93,41.51383333,-107.9043333,6722,979649.23,980304.38,0.05,229.27,-1.52,0,-23.22,-253.95
nd94,41.53816667,-107.9175,6704,979654.46,980306.56,0.02,228.65,-1.52,0,-21.86,-252.01
